symbol,stage,product,entry_time,exit_time,entry_price,exit_price,shares,gross_pnl,net_pnl,r_multiple,exit_reason
JSWENERGY,orb_vwap,MIS,2026-06-15 10:05:00,2026-06-15 10:25:00,564.8,567.45,53,-140.45,-172.28,-0.94,vwap_cross
COROMANDEL,orb_vwap,MIS,2026-06-15 10:10:00,2026-06-15 15:15:00,1948.5,1984.1,15,534.0,502.66,2.23,forced_close
LICHSGFIN,orb_vwap,MIS,2026-06-15 10:10:00,2026-06-15 10:50:00,563.9,568.55,53,-246.45,-278.3,-1.19,vwap_cross
M&MFIN,orb_vwap,MIS,2026-06-15 10:15:00,2026-06-15 11:10:00,296.5,293.1,101,-343.4,-374.94,-1.07,vwap_cross
COLPAL,orb_vwap,MIS,2026-06-15 10:20:00,2026-06-15 15:15:00,2089.4,2056.4,14,462.0,431.28,1.57,forced_close
GMRAIRPORT,orb_vwap,MIS,2026-06-15 10:20:00,2026-06-15 10:55:00,106.06,106.57,282,-143.82,-175.63,-0.97,vwap_cross
HDFCAMC,orb_vwap,MIS,2026-06-15 10:20:00,2026-06-15 15:15:00,2582.0,2622.0,11,440.0,409.6,2.04,forced_close
LT,orb_vwap,MIS,2026-06-15 10:25:00,2026-06-15 12:25:00,4199.9,4178.0,7,-153.3,-184.38,-0.85,vwap_cross
BAJFINANCE,orb_vwap,MIS,2026-06-15 10:30:00,2026-06-15 11:10:00,957.9,950.5,31,-229.4,-260.74,-1.02,vwap_cross
ONGC,orb_vwap,MIS,2026-06-15 10:30:00,2026-06-15 11:30:00,243.15,245.1,123,-239.85,-271.72,-0.98,vwap_cross
TVSMOTOR,orb_vwap,MIS,2026-06-15 10:30:00,2026-06-15 15:15:00,3408.0,3459.5,8,412.0,382.82,2.81,forced_close
ABCAPITAL,orb_vwap,MIS,2026-06-15 10:40:00,2026-06-15 11:30:00,373.85,369.4,80,-356.0,-387.49,-1.04,vwap_cross
APLAPOLLO,orb_vwap,MIS,2026-06-15 10:40:00,2026-06-15 13:20:00,1829.7,1833.3,16,-57.6,-88.68,-0.78,vwap_cross
CHOLAFIN,orb_vwap,MIS,2026-06-15 10:40:00,2026-06-15 15:15:00,1660.3,1653.9,18,-115.2,-146.82,-0.44,forced_close
MFSL,orb_vwap,MIS,2026-06-15 10:40:00,2026-06-15 15:05:00,1630.0,1631.1,18,19.8,-11.33,0.12,vwap_cross
ASIANPAINT,orb_vwap,MIS,2026-06-15 10:45:00,2026-06-15 15:15:00,2779.6,2743.2,10,364.0,334.76,1.4,forced_close
PREMIERENE,orb_vwap,MIS,2026-06-15 10:45:00,2026-06-15 15:15:00,1049.0,1044.5,28,-126.0,-157.07,-0.46,forced_close
CONCOR,orb_vwap,MIS,2026-06-15 11:00:00,2026-06-15 12:00:00,462.4,460.15,64,-144.0,-175.29,-0.92,vwap_cross
GODREJCP,orb_vwap,MIS,2026-06-15 11:00:00,2026-06-15 15:15:00,1042.2,1038.4,28,106.4,75.52,0.72,forced_close
PIDILITIND,orb_vwap,MIS,2026-06-15 11:50:00,2026-06-15 13:05:00,1581.8,1570.0,18,-212.4,-242.46,-0.93,vwap_cross
IOC,orb_vwap,MIS,2026-06-15 11:55:00,2026-06-15 15:15:00,144.87,144.6,207,55.89,24.12,0.29,forced_close
KOTAKBANK,orb_vwap,MIS,2026-06-15 12:05:00,2026-06-15 14:20:00,404.55,405.6,74,-77.7,-109.5,-0.5,vwap_cross
COCHINSHIP,orb_vwap,MIS,2026-06-15 12:10:00,2026-06-15 15:15:00,1441.6,1409.9,20,634.0,603.83,2.76,forced_close
SBICARD,orb_vwap,MIS,2026-06-15 12:20:00,2026-06-15 13:45:00,607.95,604.25,49,-181.3,-212.77,-0.85,vwap_cross
RELIANCE,orb_vwap,MIS,2026-06-15 12:40:00,2026-06-15 15:15:00,1304.7,1308.6,22,-85.8,-116.29,-0.46,forced_close
ASTRAL,orb_vwap,MIS,2026-06-15 12:45:00,2026-06-15 15:15:00,1543.0,1545.3,19,43.7,12.58,0.23,forced_close
