symbol,stage,product,entry_time,exit_time,entry_price,exit_price,shares,gross_pnl,net_pnl,r_multiple,exit_reason
BAJAJFINSV,bollinger_meanrev,MIS,2026-07-06 15:20:00,2026-07-06 15:25:00,1878.8,1877.357142857143,15,21.64,-8.23,0.25,trailing_stop
COLPAL,bollinger_meanrev,MIS,2026-07-06 15:20:00,2026-07-06 15:25:00,2082.9,2082.9,14,-0.0,-30.92,-0.0,forced_close
MOTILALOFS,bollinger_meanrev,MIS,2026-07-06 15:20:00,2026-07-06 15:25:00,954.15,955.45,31,-40.3,-71.69,-0.43,forced_close
SWIGGY,bollinger_meanrev,MIS,2026-07-06 15:25:00,2026-07-06 15:25:00,250.0,250.0,120,-0.0,-31.81,-0.0,eod_data_end
360ONE,bollinger_meanrev,MIS,2026-07-07 09:15:00,2026-07-07 09:30:00,1140.2,1137.557142857143,26,68.71,37.32,0.54,trailing_stop
ALKEM,bollinger_meanrev,MIS,2026-07-07 09:15:00,2026-07-07 10:40:00,5708.5,5702.642857142857,5,29.29,-0.96,0.17,trailing_stop
BAJAJ-AUTO,bollinger_meanrev,MIS,2026-07-07 09:15:00,2026-07-07 09:25:00,10106.0,10133.0,2,-54.0,-75.47,-0.71,trailing_stop
CHOLAFIN,bollinger_meanrev,MIS,2026-07-07 09:15:00,2026-07-07 10:05:00,1869.4,1858.9,16,168.0,136.39,0.84,target_mid_band
DIVISLAB,bollinger_meanrev,MIS,2026-07-07 09:15:00,2026-07-07 09:30:00,6895.5,6926.214285714285,4,-122.86,-152.19,-1.03,trailing_stop
EICHERMOT,bollinger_meanrev,MIS,2026-07-07 09:15:00,2026-07-07 09:30:00,7571.5,7573.0,3,-4.5,-28.59,-0.04,trailing_stop
GMRAIRPORT,bollinger_meanrev,MIS,2026-07-07 09:15:00,2026-07-07 09:50:00,114.11,114.30285714285714,262,-50.53,-82.27,-0.47,trailing_stop
HCLTECH,bollinger_meanrev,MIS,2026-07-07 09:15:00,2026-07-07 09:20:00,1150.0,1155.0714285714284,26,-131.86,-163.65,-0.74,trailing_stop
HEROMOTOCO,bollinger_meanrev,MIS,2026-07-07 09:15:00,2026-07-07 10:05:00,4980.0,4974.085714285714,6,35.49,3.82,0.29,trailing_stop
INFY,bollinger_meanrev,MIS,2026-07-07 09:15:00,2026-07-07 09:35:00,1060.5,1065.9285714285716,28,-152.0,-183.59,-0.83,trailing_stop
LTM,bollinger_meanrev,MIS,2026-07-07 09:15:00,2026-07-07 09:20:00,3811.5,3828.371428571429,7,-118.1,-146.47,-0.72,trailing_stop
MARUTI,bollinger_meanrev,MIS,2026-07-07 09:15:00,2026-07-07 09:25:00,14495,14500.857142857143,2,-11.71,-42.46,-0.15,trailing_stop
MPHASIS,bollinger_meanrev,MIS,2026-07-07 09:15:00,2026-07-07 09:20:00,2275.2,2277.7857142857147,13,-33.61,-65.0,-0.22,trailing_stop
PERSISTENT,bollinger_meanrev,MIS,2026-07-07 09:15:00,2026-07-07 09:20:00,4792.1,4800.685714285714,6,-51.51,-82.04,-0.33,trailing_stop
SBILIFE,bollinger_meanrev,MIS,2026-07-07 09:15:00,2026-07-07 09:20:00,1806.9,1817.7142857142858,16,-173.03,-203.8,-1.17,trailing_stop
SHRIRAMFIN,bollinger_meanrev,MIS,2026-07-07 09:15:00,2026-07-07 10:40:00,1083.0,1076.9857142857145,27,162.39,131.48,0.91,trailing_stop
SUPREMEIND,bollinger_meanrev,MIS,2026-07-07 09:15:00,2026-07-07 09:20:00,3246.1,3259.1,9,-117.0,-148.06,-1.0,trailing_stop
SWIGGY,bollinger_meanrev,MIS,2026-07-07 09:15:00,2026-07-07 09:20:00,251.51,253.17857142857142,119,-198.56,-230.43,-1.04,trailing_stop
TATACAP,bollinger_meanrev,MIS,2026-07-07 09:15:00,2026-07-07 10:20:00,354.35,351.2,84,264.6,233.2,1.27,target_mid_band
UPL,bollinger_meanrev,MIS,2026-07-07 09:15:00,2026-07-07 09:20:00,612.6,614.0142857142857,48,-67.89,-99.11,-0.59,trailing_stop
